#dist_cut	num_seqs	num_clusters	num_clusters(recip_simpson_index)	avg_intra_clust_phylo_dist_phylum(norm_shannon_index)	avg_inter_clust_phylo_dist_phylum(norm_shannon_index)	avg_intra_clust_phylo_dist_order(norm_shannon_index)	avg_inter_clust_phylo_dist_order(norm_shannon_index)	avg_silhouette_width	avg_inter_clust_dist	avg_intra_clust_dist	dunn_index
0	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.01	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.02	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.03	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.04	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.05	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.06	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.07	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.08	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.09	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.1	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.11	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.12	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.13	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.14	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.15	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.16	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.17	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.18	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.19	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.2	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.21	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.22	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.23	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.24	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.25	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.26	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.27	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.28	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.29	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.3	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.31	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.32	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.33	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.34	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.35	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.36	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.37	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.38	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.39	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.4	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.41	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.42	3	3	3	0	0	0	0.725982457878719	1	0.986318273333333	0	0.70138912
0.43	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.44	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.45	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.46	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.47	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.48	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.49	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.5	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.51	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.52	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.53	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.54	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.55	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.56	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.57	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.58	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.59	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.6	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.61	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.62	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.63	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
0.64	3	2	1.8	0	0	0	1	0	1.12878285	0.35069456	1.60935323604678
