#dist_cut	num_seqs	num_clusters	num_clusters(recip_simpson_index)	avg_intra_clust_phylo_dist_phylum(norm_shannon_index)	avg_inter_clust_phylo_dist_phylum(norm_shannon_index)	avg_intra_clust_phylo_dist_order(norm_shannon_index)	avg_inter_clust_phylo_dist_order(norm_shannon_index)	avg_silhouette_width	avg_inter_clust_dist	avg_intra_clust_dist	dunn_index
0	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.01	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.02	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.03	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.04	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.05	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.06	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.07	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.08	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.09	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.1	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.11	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.12	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.13	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.14	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.15	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.16	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.17	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.18	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.19	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.2	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.21	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.22	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.23	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.24	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.25	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.26	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.27	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.28	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.29	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.3	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.31	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.32	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.33	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.34	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.35	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.36	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.37	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.38	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.39	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.4	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.41	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.42	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.43	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.44	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.45	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.46	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.47	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.48	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.49	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.5	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.51	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.52	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.53	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.54	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.55	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.56	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.57	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.58	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.59	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.6	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.61	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.62	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.63	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.64	5	5	5	0	0	0	0.617951112473429	0.8	1.215983049	0	0.69694576
0.65	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.66	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.67	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.68	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.69	5	5	5	0	0	0	0.617951112473429	1	1.215983049	0	0.69694576
0.7	5	4	3.57142857142857	0	0	0.257479630197262	0.816191117124422	0.5	1.42071948583333	0.17423644	1.04205971494826
0.71	5	4	3.57142857142857	0	0	0.257479630197262	0.816191117124422	0.5	1.42071948583333	0.17423644	1.04205971494826
0.72	5	3	2.27272727272727	0	0	0.315256629018715	0.965129135823187	0.333333333333333	1.64894924333333	0.238829328888889	1.6691191184243
0.73	5	3	2.27272727272727	0	0	0.315256629018715	0.965129135823187	0.333333333333333	1.64894924333333	0.238829328888889	1.6691191184243
0.74	5	3	2.27272727272727	0	0	0.315256629018715	0.965129135823187	0.333333333333333	1.64894924333333	0.238829328888889	1.6691191184243
0.75	5	3	2.27272727272727	0	0	0.315256629018715	0.965129135823187	0.333333333333333	1.64894924333333	0.238829328888889	1.6691191184243
0.76	5	3	2.27272727272727	0	0	0.315256629018715	0.965129135823187	0.333333333333333	1.64894924333333	0.238829328888889	1.6691191184243
0.77	5	3	2.27272727272727	0	0	0.315256629018715	0.965129135823187	0.333333333333333	1.64894924333333	0.238829328888889	1.6691191184243
0.78	5	3	2.27272727272727	0	0	0.315256629018715	0.965129135823187	0.333333333333333	1.64894924333333	0.238829328888889	1.6691191184243
