#dist_cut	num_seqs	num_clusters	num_clusters(recip_simpson_index)	avg_intra_clust_phylo_dist_phylum(norm_shannon_index)	avg_inter_clust_phylo_dist_phylum(norm_shannon_index)	avg_intra_clust_phylo_dist_order(norm_shannon_index)	avg_inter_clust_phylo_dist_order(norm_shannon_index)	avg_silhouette_width	avg_inter_clust_dist	avg_intra_clust_dist	dunn_index
0	37	37	37	0	0.368129055103258	0	0.267887546902139	1	1.6053489715015	0	0.09806177
0.01	37	37	37	0	0.368129055103258	0	0.267887546902139	1	1.6053489715015	0	0.09806177
0.02	37	37	37	0	0.368129055103258	0	0.267887546902139	1	1.6053489715015	0	0.09806177
0.03	37	37	37	0	0.368129055103258	0	0.267887546902139	1	1.6053489715015	0	0.09806177
0.04	37	37	37	0	0.368129055103258	0	0.267887546902139	1	1.6053489715015	0	0.09806177
0.05	37	37	37	0	0.368129055103258	0	0.267887546902139	1	1.6053489715015	0	0.09806177
0.06	37	37	37	0	0.368129055103258	0	0.267887546902139	1	1.6053489715015	0	0.09806177
0.07	37	37	37	0	0.368129055103258	0	0.267887546902139	1	1.6053489715015	0	0.09806177
0.08	37	37	37	0	0.368129055103258	0	0.267887546902139	1	1.6053489715015	0	0.09806177
0.09	37	37	37	0	0.368129055103258	0	0.267887546902139	1	1.6053489715015	0	0.09806177
0.1	37	35	33.390243902439	0	0.384878777168236	0	0.275495413509678	0.937196560064189	1.6512471767563	0.00560525628571429	1.26206750358227
0.11	37	35	33.390243902439	0	0.384878777168236	0	0.275495413509678	0.937196560064189	1.6512471767563	0.00560525628571429	1.26206750358227
0.12	37	35	33.390243902439	0	0.384878777168236	0	0.275495413509678	0.93717827676086	1.6512471767563	0.00560525628571429	1.26206750358227
0.13	37	34	31.8372093023256	0	0.393792037920259	0	0.279274694187122	0.927304466225703	1.66637297300356	0.00941237676470588	1.31319064666056
0.14	37	34	31.8372093023256	0	0.393792037920259	0	0.279274694187122	0.925995754053697	1.66637297300357	0.00941237676470588	1.31319064666056
0.15	37	34	31.8372093023256	0	0.393792037920259	0	0.279274694187122	0.927304466225703	1.66637297300357	0.00941237676470588	1.31319064666056
0.16	37	34	31.8372093023256	0	0.393792037920259	0	0.279274694187122	0.928087929797802	1.66637297300357	0.00941237676470588	1.31319064666056
0.17	37	32	27.9387755102041	0	0.412413388950379	0	0.277737588498094	0.927558026701347	1.66713123893817	0.0170486995833333	1.05351461167037
0.18	37	31	26.843137254902	0	0.422519358661405	0	0.281675280241628	0.918952958633428	1.69179779767742	0.0231252382795699	1.76705563727207
0.19	37	31	26.843137254902	0	0.422519358661405	0	0.281675280241628	0.921118317352251	1.69179779767742	0.0231252382795699	1.76705563727207
0.2	37	31	26.843137254902	0	0.422519358661405	0	0.281675280241628	0.916666558415939	1.69179779767742	0.0231252382795699	1.76705563727207
0.21	37	31	26.843137254902	0	0.422519358661405	0	0.281675280241628	0.918952958633428	1.69179779767742	0.0231252382795699	1.76705563727207
0.22	37	31	26.843137254902	0	0.422519358661405	0	0.281675280241628	0.918952958633428	1.69179779767742	0.0231252382795699	1.76705563727207
0.23	37	31	26.843137254902	0	0.422519358661405	0	0.281675280241628	0.920975212421018	1.69179779767742	0.0231252382795699	1.76705563727207
0.24	37	31	26.843137254902	0	0.422519358661405	0	0.281675280241628	0.918952958633428	1.69179779767742	0.0231252382795699	1.76705563727207
0.25	37	31	26.843137254902	0	0.422519358661405	0	0.281675280241628	0.913671669027235	1.69179779767742	0.0231252382795699	1.76705563727207
0.26	37	31	26.843137254902	0	0.422519358661405	0	0.281675280241628	0.921118317352251	1.69179779767742	0.0231252382795699	1.76705563727207
0.27	37	31	26.843137254902	0	0.422519358661405	0	0.281675280241628	0.919229163697605	1.69179779767742	0.0231252382795699	1.76705563727207
0.28	37	31	26.843137254902	0	0.422519358661405	0	0.281675280241628	0.921118317352251	1.69179779767742	0.0231252382795699	1.76705563727207
0.29	37	30	24.8909090909091	0	0.432636203598876	0.0107928861790514	0.290654721506357	0.912040386709083	1.654397698	0.027310346	1.14219866356472
0.3	37	30	24.8909090909091	0	0.432636203598876	0.0107928861790514	0.290654721506357	0.912040386709083	1.654397698	0.027310346	1.14219866356472
0.31	37	28	23.2033898305085	0	0.455094365824977	0.0115638066204122	0.290663717294105	0.877951739194188	1.69182022232804	0.0509629971428571	1.15138834001007
0.32	37	28	23.2033898305085	0	0.455094365824977	0.0115638066204122	0.290663717294105	0.887086586324581	1.69182022232804	0.0509629971428571	1.15138834001007
0.33	37	28	23.2033898305085	0	0.455094365824977	0.0115638066204122	0.290663717294105	0.888472923589673	1.69182022232804	0.0509629971428571	1.15138834001007
0.34	37	28	23.2033898305085	0	0.455094365824977	0.0115638066204122	0.290663717294105	0.885908988050241	1.69182022232804	0.0509629971428571	1.15138834001007
0.35	37	28	23.2033898305085	0	0.455094365824977	0.0115638066204122	0.290663717294105	0.890838857306662	1.69182022232804	0.0509629971428572	1.15138834001007
0.36	37	27	22.4426229508197	0	0.46706590068378	0.0119920957545015	0.295484605010855	0.874024224785729	1.71147870538461	0.0658532933333333	1.11282563554796
0.37	37	26	19.8405797101449	0	0.47879454309995	0.0124533302065978	0.299213070831999	0.873998027556716	1.73717380892308	0.0712896112820513	1.14745105746635
0.38	37	26	19.8405797101449	0	0.47879454309995	0.0124533302065978	0.299213070831999	0.874415453236161	1.73717380892308	0.0712896112820513	1.14745105746635
0.39	37	26	19.8405797101449	0	0.47879454309995	0.0124533302065978	0.299213070831999	0.869126256385295	1.73717380892308	0.0712896112820513	1.14745105746635
